Serial Number,Defect Status,Date,Time,Month,Week,Week #,Operator,Operation,Station,Table,Location,Latitude,Gore,Type,Film Type,SubProcess,Condition,Criteria,Disposition,MRB Disposition,Comment
TK-778,Closed,2014-05-15,21:09:00,May 2014,20,3,103269,,3,3,B13_33A,33,13,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-778,Closed,2014-05-15,21:43:00,May 2014,20,3,103269,,3,3,B16_35A,35,16,PB,CONVENTIONAL,GORE SEALS,CONTAMINATION,CONTAMINATION IN THE GAS SEAL THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE); IF REMOVABLE CLEAN AREA FIRST,VERTROD,,
TK-778,Closed,2014-05-15,21:44:00,May 2014,20,3,103269,,3,3,B16_35A,35,16,PB,CONVENTIONAL,GORE SEALS,CLEAR EDGE,THINNING THAT VIOLATES THE MINIMUM SEAL REQUIREMENT (1/16 IN FROM GAS EDGE),VERTROD,,
TK-778,Closed,2014-05-15,21:54:00,May 2014,20,3,103269,,3,3,B18_31A,31,18,PB,CONVENTIONAL,GORE FILM,GEL,GELS WITH FILM THINNING,SSA PATCH,,
TK-778,Closed,2014-05-16,02:30:00,May 2014,20,3,102533,,3,3,B19_14B,-14,19,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING,SSA PATCH,,
TK-778,Closed,2014-05-16,02:30:00,May 2014,20,3,102533,,3,3,B20_14B,-14,20,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING,SSA PATCH,,
TK-778,Closed,2014-05-16,02:31:00,May 2014,20,3,102533,,3,3,B21_14B,-14,21,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING,SSA PATCH,,
TK-778,Closed,2014-05-16,02:32:00,May 2014,20,3,102533,,3,3,B20_14B,-14,20,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING,SSA PATCH,,
TK-778,Closed,2014-05-16,02:33:00,May 2014,20,3,102533,,3,3,B21_14B,-14,21,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING,SSA PATCH,,
TK-778,Closed,2014-05-16,03:35:00,May 2014,20,3,102533,,3,3,B21_36A,36,21,PB,CONVENTIONAL,GORE SEALS,TUCK,*SMALL (<1/4 IN) WITH JAGGED EDGE SEAL,VERTROD & SSA PATCH,,
TK-778,Closed,2014-05-16,05:36:00,May 2014,20,3,102533,,3,3,B32_33B,-33,32,PB,CONVENTIONAL,GORE FILM,FINGER PULL,ANY CONFINED YIELDING RESEMBLING A FINGERTIP,SSA PATCH,,
TK-778,Closed,2014-05-16,06:00:00,May 2014,20,3,102533,,3,3,B36_34B,-34,36,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING,SSA PATCH,,
TK-778,Closed,2014-05-16,06:03:00,May 2014,20,3,102533,,3,3,B36_17A,17,36,PB,CONVENTIONAL,GORE FILM,GEL,GELS WITH FILM THINNING,SSA PATCH,,patched on cutting table
TK-778,Closed,2014-05-16,08:51:00,May 2014,20,3,102533,,3,3,B48_16A,16,48,PB,CONVENTIONAL,GORE FILM,SCRATCH/ABRASION,IDENTIFIED ANYWHERE DURING/AFTER SEALING THAT IS INACCESSIBLE TO INTERIOR PATCHING,SSA PATCH (EXTERIOR),,
